description,location,name,category,datetime
"AfrotroniX merges electronic music with African rhythms and electric Touareg blues. 
The live shows are an original creations mixing an electro DJ , live instruments (drums : Lionel Kizaba), African urban dance performances and digital art .
Discovered at Paris AFROPUNK fest , AfrotroniX  is an original creation by the famous Chadian guitarist Caleb Rimtobaye who worked with international artists like Mbongwana Star, Brian Kennedy ( Rihanna, Chris Brown) and many more...
Caleb Rimtobaye now lives in Montreal and has been touring the world for the past 10 years (Australia, Canada, USA, south Africa, Korea, Switzerland)
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Booking Agent - US, Booking Agent - UK/Europe, Booking Agent - Worldwide, Sync/Music Supervisors","Russian House, Montreal, QC, CANADA",Electronic Concert,Concert,2025-12-12 10:00:00
"Known for her excuse-free, self-rewarding work ethic, the founder, and CEO of 3K9 Productions is mastering the art of maintaining a successful career as an independent artist.
As a native of the Southside (Roseland area) of Chicago, Aina Brei’Yon personifies strength. Since her conception, she has made it very clear that boundaries do not apply to her. Early on in her career, she understood the importance of being true to who she is and embracing idealism. Her reality is defined by her beliefs; a message that transcends through her music. As the second to youngest of 10 children, self-expression and showing any type of emotion was simply non-existent in their family. She says, “I found an outlet with music at the young age of nine. Writing was the only way I knew how to express myself.”
As a creator of experiences, Aina’s talent of using her music to tell her stories has presented her with several opportunities to open up for acts such as J.Holiday, Talib Kweli, Soulja Boy, Keith Murray, Crucial Conflict, Sammie, and B2K. Her audience consists of multigenerational like-minded male and female individuals who find themselves embracing the energy of Aina Brei’Yon.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Brand Partnership, Gear Endorsement, Distribution - Worldwide, Other Artists to Tour With, Booking Agent - US, Sync/Music Supervisors","The Main, Chicago, IL",Hip-Hop / Rap Concert,Concert,2025-09-07 12:00:00
"AKAW! started as a 3 piece garage/surf rock band back in 2017 on a bet that they couldn't nail a full set within 2 weeks. Of course the guys got it together and had a great time playing together. AKAW! immediately started to incorporate choreography, sound effects and a stylish uniform to their performance to make it a SHOW, not just 3 dudes standing around playing garage rock. The AKAW! call seems to follow the members around, usually being yelled immediately upon entering the venue at load in or when the members are seen at other shows. Recently, a keyboard player has joined to fill out the sound, creating that garage vibe that groups have been after since it's advent. Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Gear Endorsement, Booking Agent - US, Booking Agent - UK/Europe, Booking Agent - Worldwide","Hotel Vegas, Austin, TX",Rock Concert,Concert,2025-11-21 21:45:00
"Akil Ammar es un MC y poeta urbano nacido en la Ciudad de México. Veinte años de trayectoria dentro de la cultura Hip Hop y 5 álbumes de estudio lo respaldan. Melodía y mensaje mezclados con letras cotidianas, sinceras y de conciencia  han convertido a Akil en uno de los referentes más importantes para la música independiente iberoamericana.
Ha hecho tours por todo México, además de festivales en La Habana, Berlín, Puerto Rico, Guatemala y en 10 de las ciudades más importantes de EUA. Co-fundador de Asfalto en 2012 (www.asfaltoinc.com), ha sido parte de la producción de eventos masivos internacionales y de la distribución de música independiente del género a nivel mundial. Ha aportado temas para: “Barrio 19” (MTV), ""Ángel Guardián"" (Canal Once), y varios filmes incluyendo “Trazando Aleida”. Ganador del premio Chilango-FMX a la Música en 2010 y nominado a mejor Disco de Rap/Hip Hop en los Indie O Music Awards 2010.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Other Artists to Tour With","Flamingo Cantina, Mexico City, MEXICO",Hip-Hop / Rap Concert,Concert,2025-09-30 20:00:00
"Every song from Alex Di Leo is an automatic escape from day-to-day life, a retreat into a state of mind that’s more hopeful and carefree and full of possibility. With his soulful vocals and crystalline melodies, the Fort Lauderdale-based singer/songwriter delivers an impassioned breed of indie-pop that melts away everyday worries and leaves the listener inspired to live more fearlessly.
Given their transportive power, it’s fitting that so many of Di Leo’s songs are sparked by his adventures in visiting new cities all over the country and across the globe. “I’m always most motivated to write when I’m in a place I’ve never been before,” says the 22-year-old artist. “Even just riding on the plane when I’m traveling somewhere new seems to do something to me, and the melodies just start to come together.”
On his new EP Strange Open Land, Di Leo channels that inspiration into an intricately detailed but hook-heavy sound. The follow-up to his debut EP So We Go—a 2016 release that landed Di Leo on the top 20 at more than 100 college radio stations around the U.S.—the EP also perfectly captures the infectious energy that Di Leo’s shown in sharing stages with such artists as Barns Courtney
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Brand Partnership, Gear Endorsement, Other Artists to Tour With, Publishing","Sheraton BackYARD, Fort Lauderdale, FL",Singer-Songwriter Concert,Concert,2025-11-02 20:00:00
"Alex Francis released his first single ‘The Last Time’ in early 2017 before embarking onto a successful tour of the UK and Europe supporting pop legend Melanie C. Alex also provided guest vocals on Melanie's single ‘Hold On'. His EP ‘A Stronger Love’ caught the attention of Stereophonics’ Kelly Jones who invited Alex and his band to open their European tour in early 2018 which he followed with another successful supporting campaign opening for Sting last summer. He performed his first shows in New York in September including a sold out Mercury Lounge alongside Anthony D’Amato and his cover of Otis Redding's 'Merry Christmas Baby' landed on Warner Music's 'Christmas Covered' new music compilation just in time to see the year out on a high. 
Alex‘s new single 'Whatever Happened' produced by Stew Jackson (Massive Attack) released on February 15th and scored an immediate addition to New Music Friday Norway on Spotify. Alex hits the road with Nashville's Megan Davies in the UK and Europe this February and March along with performances at Live at Leeds, Glastonbury and Victorious Festivals in the UK this summer amongst several others exciting live developments. 
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Brand Partnership, Gear Endorsement, Distribution - US, Other Artists to Tour With, PR/Publicity Agency, Publishing, Sync/Music Supervisors","Stephen F's Bar, Hitchin, UK-ENGLAND",Singer-Songwriter Concert,Concert,2025-11-23 21:00:00
"Brooklyn-born Alex Mali is a multi-talented singer and songwriter who puts a breathtaking spin on modern R&B. Her ballads are influenced by an electric assortment of genres with undeniable demonstration of strength in melodic and lyrical ability. Raised with a very rich heritage stemming from a Jamaican mother and a Trinidadian father, her cultural background and exposure to wide selections of music as a child is key to why she stands above the crowd-- scoring spots on popular playlists such as Fresh Finds, New Music Friday and Alternative R&B.
Alex Mali has worked with some of today's dopest artists such as Thutmose, Grammy-Award winning artists J-White and MeLo-X, etc. -- recently appeared on BET Awards #GETVOCAL Sprite Commercial(s), performed alongside Lil’ Kim at the Barclays for VFiles #NYFW SS19 Runway Show, King Combs for Hot97's ""Who's Next"" + more.
Alex Mali takes the attention of her audience and guides them through realms of emotion with her unique build and powerful vocals,  transcending barriers of age and culture. Debut project ""Sweet & Sour"" is projected to release April 2019, including her latest single ""BENJAMIN"" prod. PLVYHAUS, premiered on Ebro's Beats1 Show.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.","Antone’s, Brooklyn, NY",R & B Concert,Concert,2025-11-19 11:45:00
"Alfred., aka the queer rapscallion, is an emcee based out of Virginia. After they dropped their debut album, ""Like You!!"", in August of 2018, Alfred. and their producer Pockets toured the east-coast and south in hopes of twisting everyone's one-dimensional perception of rap. Alfred. has been instrumental in the emergence of the rap renaissance in Richmond, VA. Their creative prowess, however, helps them stand apart in a category they coined ""dark gospel"".Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.","Cheer Up Charlie's Inside, Woodbridge, VA",Hip-Hop / Rap Concert,Concert,2025-10-05 19:45:00
"Ali Awan is a Philadelphia-based Indie rock singer-songwriter. Born in Pennsylvania, Awan spent time growing up in Turkey and Saudi Arabia before finally settling back home in Abington, PA.
At age 15, Awan performed as a guitar and bass player in West Philadelphia basements. He turned his attention to songwriting after being inspired by legendary artists The Velvet Underground, Chuck Berry, David Bowie and The Rolling Stones. 
Awan's emphasis on groove and feel are at the forefront of his mind. Awan says, “My intention is to give my audience an interesting and unforgettable place to go and feel for themselves.”
Awan is currently touring in support of his current album, “The Butterfly EP” with performances at NON-COMM, XPoNential Festival and multi-state dates.
WXPN DJ Mike Vasilikos says of Awan, ""We all have those musical discoveries that reignite that fire in your belly. No artist has done that more than Ali Awan. His energy, creativity, passion for rock and roll, it’s contagious.”
WBEZ’s Sound Opinions host and Chicago Tribune writer/rock critic Jim DeRogatis called Awan, “Ferocious.”
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Brand Partnership, Gear Endorsement, Distribution - US, Distribution - UK/Europe, Distribution - Worldwide, Booking Agent - US, Booking Agent - UK/Europe, Booking Agent - Worldwide, Publishing, Sync/Music Supervisors","Pour Choices, Philadelphia, PA",Singer-Songwriter Concert,Concert,2025-11-02 22:00:00
"Alih Jey is a genre-defying Dominican singer/songwriter living in Los Angeles. Her latest single “Mi Debilidad” was premiered on KCRW’s Pan Caliente and included on NPR’s Alt.Latino playlist after a glowing review. This emotionally moving song, with elements of the Dominican criolla and bolero, is part of her upcoming album, “Soy De Peña,” a tribute to her father Aníbal De Peña, who to this day remains an icon in Dominican musical history. Alih’s current endeavor is a collaboration with Latin Folk band Cuñao. Together, they provide a fresh take of these timeless classics, while remaining true to the original versions.
Cuñao is a Los Angeles-based, Latin Folk group . They use their South American background & influences to create evocative, poetic songs that transcend time and leave listeners with lush images. A group of multi-ethnic musicians, Cuñao puts a global twist on their Latin sound by exploring African rhythms, Eastern European melodies and American Rock aesthetics.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Management, Brand Partnership, Other Artists to Tour With, Booking Agent - US, Booking Agent - Worldwide, Sync/Music Supervisors","Speakeasy, Los Angeles, CA",Latin Rock Concert,Concert,2025-11-15 14:00:00
"Edmonton, Alberta based Altameda (æl-tah-MI-da) have evolved into a band with a bold, and unrelenting sound. It’s the culmination of experience, both musical and rawly human, that makes Altameda the band they are. Hitting festival circuits and stages across Canada and the UK, they’ve toured extensively since releasing their much-celebrated debut album, Dirty Rain. 
Full and resounding, cutting and dynamic, Altameda’s sophomore release, Time Hasn’t Changed You, is full of all that makes life a beautiful mess. Brought along by warm bass lines, bluesy rhythms and the sweet whir of the wurlitzer, vocalist Troy Snaterse’s lyrics burn with nostalgia and present desire, made vivid by his talk-like cadences and emotional peaks. It will lift you out of your seat—then all at once send you spiralling down to the kitchen floor. It’s love lost and gained and lost again. It will stay with you even after vinyl and needle have parted ways.
Time Hasn’t Changed You, produced by Aaron Goldstein (City & Colour, Daniel Romano, Kathleen Edwards), was released by Pheromone Recordings on January 25, 2019Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Gear Endorsement, Distribution - US, Distribution - UK/Europe, Other Artists to Tour With, Booking Agent - US, Booking Agent - UK/Europe, Publishing, Sync/Music Supervisors","18th Over Austin, Edmonton, AB, CANADA",Americana Concert,Concert,2025-09-12 23:15:00
"Amanda Palmer is a singer, songwriter, playwright, pianist, author, director, blogger and ukulele enthusiast who simultaneously embraces and explodes traditional frameworks of music, theatre, and art. She first came to prominence as one half of the Boston-based punk cabaret duo The Dresden Dolls, earning global applause for their inventive songcraft and wide-ranging theatricality. Her solo career has proven equally brave and boundless, featuring such groundbreaking works as the fan-funded Theatre Is Evil, which made a top 10 debut on the SoundScan/Billboard 200 upon its release in 2012 and remains the top-funded original music project on Kickstarter. 
Since 2015 Palmer has used the crowdfunding platform Patreon to fund the creation of her artwork. This has enabled her to collaborate with artists all over the world with over 14,000 patrons supporting her creations each month. Palmer will release her new solo piano album and accompanying book of photographs and essays, There Will Be No Intermission, on March 8, 2019, followed by a global tour. The album is a masterwork that includes life, death, abortion, and miscarriage among its tentpole themes.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.","Augustine, Boston, MA",Singer-Songwriter Concert,Concert,2025-09-26 17:45:00
"Strings, skin and waves hold together this global tribe produced by a group of Melbourne based artists from Australia, Colombia, Argentina, Chile and Venezuela. Vibrating charangos, electronic sounds with afro-latin beats and powerful vocal harmonies align with the Australian land, creating a portal which connects the southern hemisphere and gives birth to an unknown genre called “Cumbia Oceanica”. 
Nominated for Best Global/Reggae Act (The Age Music Awards), their debut self-titled album got national recognition and featured international artists such as: Tonolec (Argentina), QVLN (USA), Nhattyman (Ethiopia/Australia) and OKA (Australia). Their popularity continues to rise with invitations and attendances at world premier festivals including:  Womadelaide 2019, Strawberry Fields, The Lost Lands, and FedSquare New Year’s Eve street party (Melb).
In Quechua, , “Amaru” is the serpent which connects the spiritual and the subterranean world. The tribes deep connection with their roots is nurtured in their song lines; with a bilingual nature which allows the listener to discover connections between Australia's diverse cultural backgrounds. 
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Management, Brand Partnership, Gear Endorsement, Distribution - US, Distribution - UK/Europe, Distribution - Worldwide, Other Artists to Tour With, Booking Agent - US, Booking Agent - UK/Europe, Booking Agent - Worldwide, PR/Publicity Agency, Producer/Studio Engineer, Publishing, Sync/Music Supervisors","Russian House, Melbourne, AUSTRALIA",World Concert,Concert,2025-10-04 16:15:00
"After leaving high school a year early to pursue a career in music, Ambar Lucid, a first generation 18-year old Dominican/Mexican-American musician from Little Ferry, New Jersey started paving a lane for herself. Her mother moved to the US from the Dominican Republic to give her child a better life; often deterred by her surrounding environment to not follow her dream of making it in music, she kept pushing on. At the age of 15, Ambar started writing & producing her own original music with influences of Indie, R&B, Alternative, & soul.  Ambar always knew that being a musician was the only thing she’d ever be happy doing and self taught herself guitar, piano, & the ukulele at age eleven. Her biggest influences are Pink Floyd, Mon Laferte, The Beatles, Andy Shauf & Sticky Fingers. Ambar has released three singles thus far in 2018 previewing her debut project ‘Dreaming Lucid’ coming March 1st.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.","Elysium, Little Ferry, NJ",Latin Rock Concert,Concert,2025-08-26 19:45:00
"Brooklyn-based producer, songwriter, singer and multi-instrumentalist ÅMBE creates a deft and entrancing electro-pop hybrid, masterfully blending her cascading layers of violin and piano, with hypnotic synths and minimalist beats. Her sensual vocals (which are often chopped-up and manipulated), coalesce with evocative electronics. Her heartful songwriting and remarkable vocal range creates an unmistakably recognizable sound. 
In 2017 ÅMBE released her debut EP “Enemy Of The People”, co-written and co-produced with Grammy-winning producer Brian Forbes aka ADMRL on ADIM Records.  “Enemy Of The People” won ÅMBE the award for Best Dance/Electronica EP in the world’s largest indie music competition - ""The Independent Music Awards”. She also self-directed and produced the music video for the single “Of Your Crimes”.
ÅMBE was featured by famed music author and blogger Ari Herstand in his article on “Female Producers You Need To Know”. She appeared among such luminary producers as Grimes, Julianna Barwick, Låpsley and even the iconic Björk.
In March of 2018 ÅMBE released her latest single “ACHE” - the first song from her upcoming album. The next single “3.OW” is due to come out
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Management, Brand Partnership, Gear Endorsement, Distribution - US, Distribution - UK/Europe, Distribution - Worldwide, Other Artists to Tour With, Booking Agent - US, Booking Agent - UK/Europe, Booking Agent - Worldwide, PR/Publicity Agency, Publishing, Sync/Music Supervisors","The Townsend, Brooklyn, NY",Electronic Concert,Concert,2025-12-11 14:00:00
"American Werewolf Academy formed in 2003 when guitarist and vocalist Aaron Thedford’s previous band ‘Robot Monster Weekend’ disbanded. Tony Harper (Slobberbone) on drums was recruited by an advert in a bar bathroom. Jake Barnhart joined on bass in 2007, and the band’s newest member Jon Binford on lapsteel and lead guitar came on board in 2013 and has helped AWA truly come into its own, adding a layer of heavy shoegaze pedal steel and incendiary bursts of lead. They hail from Dallas, TX of USA and have over the course of 15 years evolved over five albums and one compilation into a fascinating exponent of honest, slightly crazy, high-energy rock. The band have toured with Centro-matic and Wussy.  
AWA's latest record, 'Dead Without Dying & Gleefully Detached' was 100% analogue tape recorded, produced, mixed & master cut by Matt Barnhart (Bedhead, The New Year, The Gotobeds, Metz. Nots, Xetas, SuperChunk, Silkworm) Mastered by Carl Saff (Guided by Voices, Speedy Ortiz) which was released on Damnably and pressed on Tar Blood Red & Beer Bottle Green Vinyl. 
AWA are producing their own brewed werewolf beer and a new release coming up for 2019.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Brand Partnership","Valhalla, Dallas, TX",Rock Concert,Concert,2025-09-20 10:30:00
"Amor Elefante is a band from Buenos Aires formed in 2009 by Inés Copertino (keyboards), Rocío Bernardiner (vocals, guitar) and Rocío Fernández (vocals, drums). They have released three studio albums and two EPs. They are currently finishing their fourth album called ""Billetes Falsos"" in collaboration with producer and musician Ezequiel Kronenberg (Rosal, Lucas Martí, Alice Caymmi, Rayos Laser), to be released on march 2019.
The three founding female members were maturing their musical personality in each album, ""Amor Elefante"" (2011), ""Parque Miñaqui"" (2013), ""Viishnu"" (EP 2016), ""Oriente"" (2017) ""Occidente"" (Oriente's remixes EP 2018). They have toured in Argentina, Chile and Europe both as a trio or full band along with Andrés Merlo (bass) who joined in 2013. Songs from his previous albums were part of compilations such as ""Fonogramáticos Volume 11"" (Mexico). In addition, their song 'Hoy es hermoso' musicalized Lowe's TV add in 2012 (USA). In 2015 Rocío B. and Rocío F. recorded vocals for the song 'Nunca Entierres' included in ""Presión Social"",  last album of the project 'Varias Artistas' by Lucas Martí, which gathers the most prominent female voices in the region.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Brand Partnership, Gear Endorsement, Distribution - US, Distribution - UK/Europe, Distribution - Worldwide, Other Artists to Tour With, Booking Agent - US, Booking Agent - UK/Europe, Booking Agent - Worldwide, Publishing","Buffalo Billiards, Banfield, ARGENTINA",Pop Concert,Concert,2025-10-04 22:45:00
"It was 2014, and for the first time, Amy Wilcox felt her musical dreams were finally within her grasp. Years spent honing her craft as a songwriter and performer had finally brought her to this point – she was about to head out on her first national tour. She had been opening for Nashville staples like Luke Bryan, Blake Shelton, Kellie Pickler, and Brothers Osborne, while also commanding her own residency at Nashville mainstay, Third & Lindsley. As a principle character on A&E’s reality show, Crazy Hearts, the world got its first glimpse into the life of the burgeoning country music starlet. But just as Amy’s music was beginning to connect, life got in the way. Her engagement was called off, her future plans dissolved, and the turmoil brewing in Amy’s personal life crept into her craft. “I learned the hard way that not everything is meant to be. Sometimes timing is everything. After the dust settled, I struggled to reconnect creatively. I was in a very different place, and honestly it was really tough,” Amy recalls. Her relationship went south, but instead of dwelling on what might have been, Amy picked herself up and headed West, on a new journey of personal and artistic growth. L
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.","Lamberts, Arlington, VA",Singer-Songwriter Concert,Concert,2025-12-05 18:30:00
"Ancient River, the sonic brainchild of singer/songwriter James Barreto, is an ever-changing snapshot of rock n’ roll and psychedelia, flowing from the swampy roots of the American south to the far reaches of inner-space.
Ancient River’s wall-of-sound barrage has been honed by extensive touring across the states and beyond--including appearances at Austin Psych Fest [Levitation] (2010 & 2012), Desert Stars Festival (2016), Milwaukee Psych Festival (2015 & 2017) Reverence Festival Portugal (2015), Psychedelic Revolution Festival France (2015), Psycho De Mayo Los Angeles (2014), Desert Stars Festival Pre-Party (2014) and the Liverpool International Festival of Psychedelia (2012).
They have released 7 albums, 2 EP’s, including an EP for Sony/EMI London Music Publishing and have a new album on the way. 
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Management, Brand Partnership, Gear Endorsement, Distribution - US, Distribution - UK/Europe, Distribution - Worldwide, Other Artists to Tour With, Booking Agent - US, Booking Agent - UK/Europe, Booking Agent - Worldwide, PR/Publicity Agency, Producer/Studio Engineer, Publishing, Sync/Music Supervisors","720 Club Patio, Austin, TX",Rock Concert,Concert,2025-11-14 12:45:00
"It’s safe to say, nobody has partied harder, longer, or more fervently than the undisputed King of Partying himself, Andrew W.K.. The party music mission he embarked upon in 1999, and solidified in 2001 with the release of his signature hard rock tune “Party Hard”, remains unswervingly consistent, while also adopting a dizzying array of roles that took him into unusual territory for a rock ’n’ roll musician. These include being an advice columnist for the Village Voice and Vice Magazine, the host of a Cartoon Network children's game show, and giving motivational lectures on positive partying at Yale, NYU, Carnegie Mellon, and the U.K.'s Oxford University. As the prodigious piano playing party prophet nears his second decade of dynamic performance, his hard partying spirit shows no signs of slowing... or softening.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Management","Clive Bar, New York, NY",Rock Concert,Concert,2025-09-12 12:30:00
